,Denmark_dl,Denmark_om
2021-06-06,174.457142857143,0
2021-06-13,193.428571428571,0
2021-06-20,152.4,0
2021-06-27,147.542857142857,0
2021-07-04,339.142857142857,0
2021-07-11,558,0
2021-07-18,982.428571428572,0
2021-07-25,774.285714285714,0
2021-08-01,882.857142857143,0
2021-08-08,869.428571428571,0
2021-08-15,998.714285714286,0
2021-08-22,955.571428571429,0
2021-08-29,946,0
2021-09-05,698.714285714286,0
2021-09-12,484.857142857143,0
2021-09-19,324.571428571429,0
2021-09-26,341.714285714286,0
2021-10-03,427.714285714286,0
2021-10-10,552.714285714286,0
2021-10-17,678.714285714286,0
2021-10-24,1109,0
2021-10-31,1624.14285714286,0
2021-11-07,2111.14285714286,0
2021-11-14,2965.85714285714,0
2021-11-21,3824.14285714286,0
2021-11-28,4119.42857142857,0
2021-12-05,3449.6,862.4
2021-12-12,3880.97142857143,2587.31428571429
2021-12-19,3593.42857142857,5390.14285714286
2021-12-26,1936.05714285714,7744.22857142857
2022-01-02,0,20885.7142857143
2022-01-09,0,19749.8571428571
2022-01-16,0,23103
2022-01-23,0,38089.5714285714
2022-01-30,0,45093.1428571429
2022-02-06,0,41365.2857142857
2022-02-13,0,46336.7142857143
2022-02-20,0,35807.4285714286
2022-02-27,0,24315.5714285714
2022-03-06,0,16543.2857142857
2022-03-13,0,12363.1428571429
2022-03-20,0,7757.42857142857
2022-03-27,0,5379.42857142857
2022-04-03,0,3448.85714285714
2022-04-10,0,2635.57142857143
2022-04-17,0,1924
2022-04-24,0,1628.14285714286
