,San Francisco
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,1.2857142857142858
2020-03-15,3.142857142857143
2020-03-22,14.714285714285714
2020-03-29,28.428571428571427
2020-04-05,32.285714285714285
2020-04-12,46.714285714285715
2020-04-19,38.142857142857146
2020-04-26,35.714285714285715
2020-05-03,41.285714285714285
2020-05-10,37.285714285714285
2020-05-17,25.571428571428573
2020-05-24,26.571428571428573
2020-05-31,26.142857142857142
2020-06-07,24.714285714285715
2020-06-14,23.0
2020-06-21,23.714285714285715
2020-06-28,55.42857142857143
2020-07-05,67.71428571428571
2020-07-12,96.57142857142857
2020-07-19,80.14285714285714
2020-07-26,104.28571428571429
2020-08-02,67.71428571428571
2020-08-09,74.85714285714286
2020-08-16,111.85714285714286
2020-08-23,137.42857142857142
2020-08-30,104.71428571428571
2020-09-06,75.57142857142857
2020-09-13,63.42857142857143
2020-09-20,70.28571428571429
2020-09-27,53.285714285714285
2020-10-04,52.0
2020-10-11,27.285714285714285
2020-10-18,32.142857142857146
2020-10-25,28.428571428571427
2020-11-01,52.42857142857143
2020-11-08,80.14285714285714
2020-11-15,112.14285714285714
2020-11-22,110.42857142857143
2020-11-29,154.0
2020-12-06,222.42857142857142
2020-12-13,230.0
2020-12-20,325.14285714285717
2020-12-27,228.14285714285714
2021-01-03,303.7142857142857
2021-01-10,371.0
2021-01-17,327.2857142857143
2021-01-24,230.57142857142858
2021-01-31,157.42857142857142
2021-02-07,159.14285714285714
2021-02-14,117.28571428571429
2021-02-21,79.85714285714286
2021-02-28,60.42857142857143
2021-03-07,47.857142857142854
2021-03-14,36.42857142857143
2021-03-21,32.285714285714285
2021-03-28,42.57142857142857
2021-04-04,36.42857142857143
2021-04-11,43.714285714285715
2021-04-18,39.42857142857143
2021-04-25,36.285714285714285
2021-05-02,30.857142857142858
2021-05-09,21.285714285714285
2021-05-16,21.428571428571427
2021-05-23,17.857142857142858
2021-05-30,13.571428571428571
2021-06-06,15.0
2021-06-13,12.142857142857142
2021-06-20,10.857142857142858
2021-06-27,13.857142857142858
2021-07-04,0.0
2021-07-11,74.0
2021-07-18,115.57142857142857
2021-07-25,196.85714285714286
2021-08-01,274.2857142857143
2021-08-08,254.42857142857142
2021-08-15,221.71428571428572
2021-08-22,196.71428571428572
2021-08-29,160.0
2021-09-05,173.28571428571428
2021-09-12,118.0
2021-09-19,96.85714285714286
2021-09-26,94.85714285714286
2021-10-03,95.85714285714286
2021-10-10,73.57142857142857
2021-10-17,62.285714285714285
2021-10-24,31.857142857142858
2021-10-31,83.71428571428571
2021-11-07,75.71428571428571
2021-11-14,71.28571428571429
2021-11-21,61.0
2021-11-28,52.142857142857146
2021-12-05,79.85714285714286
2021-12-12,87.85714285714286
2021-12-19,188.0
2021-12-26,307.42857142857144
2022-01-02,980.7142857142857
2022-01-09,2506.5714285714284
2022-01-16,2140.4285714285716
2022-01-23,1611.7142857142858
2022-01-30,961.2857142857143
2022-02-06,361.57142857142856
2022-02-13,1042.4285714285713
2022-02-20,137.71428571428572
2022-02-27,309.85714285714283
2022-03-06,66.28571428571429
2022-03-13,0.0
2022-03-20,40.0
2022-03-27,117.42857142857143
2022-04-03,73.71428571428571
2022-04-10,128.0
2022-04-17,144.71428571428572
2022-04-24,154.5
